filename,BodyPart,PixelSize,PixelSizeUnits,SampleEnvironment,SampleFixation,datatype,extension,run,sample,session,subject,suffix,participant_id,species,testParticipant,sample_id,test_samples,sample_type,acq_time_x,test_sessions,acq_time,test_scans
sub-rat2_sample-data5_SEM.png,CSPINE,"[9.3e-05, 9.3e-05]",mm,ex vivo,"4% paraformaldehyde, 0% glutaraldehyde",micr,.png,,data5,,rat2,SEM,sub-rat2,rattus norvegicus,test-rat-2,sample-data5,test-data5,tissue,,,,
sub-rat2_sample-data5_SEM_seg-axon-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat2_sample-data5_SEM_seg-myelin-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-01_sample-data9_SEM.png,CSPINE,"[0.1, 0.2]",um,ex vivo,"3% paraformaldehyde, 3% glutaraldehyde",micr,.png,,data9,01,rat3,SEM,sub-rat3,rattus norvegicus,test-rat-3,sample-data9,test-data9,tissue,2000-01-01T13:45:30,test-ses-01,,
sub-rat3_ses-01_sample-data9_SEM_seg-axon-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-01_sample-data9_SEM_seg-myelin-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-02_sample-data10_SEM.png,CSPINE,"[100, 100]",nm,ex vivo,"3% paraformaldehyde, 3% glutaraldehyde",micr,.png,,data10,02,rat3,SEM,sub-rat3,rattus norvegicus,test-rat-3,sample-data10,test-data10,tissue,2001-01-01T13:45:30,test-ses-02,,
sub-rat3_ses-02_sample-data10_SEM_seg-axon-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-02_sample-data10_SEM_seg-myelin-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-02_sample-data11_run-1_SEM.png,CSPINE,"[0.1, 0.1]",um,ex vivo,"3% paraformaldehyde, 3% glutaraldehyde",micr,.png,1,data11,02,rat3,SEM,sub-rat3,rattus norvegicus,test-rat-3,sample-data11,test-data11,tissue,2001-01-01T13:45:30,test-ses-02,2001-01-01T13:45:30,test-run-1
sub-rat3_ses-02_sample-data11_run-1_SEM_seg-axon-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-02_sample-data11_run-1_SEM_seg-myelin-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-02_sample-data11_run-2_SEM.png,CSPINE,"[0.1, 0.1]",um,ex vivo,"3% paraformaldehyde, 3% glutaraldehyde",micr,.png,2,data11,02,rat3,SEM,sub-rat3,rattus norvegicus,test-rat-3,sample-data11,test-data11,tissue,2001-01-01T13:45:30,test-ses-02,2001-01-01T13:46:30,test-run-2
sub-rat3_ses-02_sample-data11_run-2_SEM_seg-axon-manual.png,,,,,,,,,,,,,,,,,,,,,,
sub-rat3_ses-02_sample-data11_run-2_SEM_seg-myelin-manual.png,,,,,,,,,,,,,,,,,,,,,,
